,Date,Temperature,Precipitation,WindSpeed,WindDirection,Humidity,VaporPressure,DewPoint,LocalPressure,SeaLevelPressure,Sunshine,Radiation,Snow,3hourSnow,AmountofCloud,LowMiddleLevelClouds,CloudsShape,MinimumCloudHeight,Visibility,GroundCondition,GroundTemperature,Soil5cm,Soil10cm,Soil20cm,Soil30cm
0,1907-12-19 00:00,,,,,,,,,,,,,,,,,,,,,,,,
1,1907-12-19 03:00,,,,,,,,,,,,,,,,,,,,,,,,
2,1907-12-19 06:00,-11.2,,2.3,250.0,40.0,1.1,,1024.4,,,,,,0.0,,,,,,,,,,
3,1907-12-19 08:00,,,,,,,,,,0.1,,,,,,,,,,,,,,
4,1907-12-19 09:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
5,1907-12-19 10:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
6,1907-12-19 11:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
7,1907-12-19 12:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
8,1907-12-19 13:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
9,1907-12-19 14:00,-1.0,,0.9,140.0,36.0,2.0,,1021.9,,1.0,,,,0.0,,,,,,,,,,
10,1907-12-19 15:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
11,1907-12-19 16:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
12,1907-12-19 17:00,,,,,,,,,,0.7,,,,,,,,,,,,,,
13,1907-12-19 22:00,-7.3,,0.4,140.0,75.0,2.7,,1021.2,,,,,,0.0,,,,,,,,,,
14,1907-12-20 00:00,,,,,,,,,,,,,,,,,,,,,,,,
15,1907-12-20 03:00,,,,,,,,,,,,,,,,,,,,,,,,
16,1907-12-20 06:00,-3.8,,3.2,50.0,53.0,2.4,,1015.5,,,,,,10.0,,,,,,,,,,
17,1907-12-20 09:00,,,,,,,,,,,,,,,,,,,,,,,,
18,1907-12-20 10:00,,,,,,,,,,0.1,,,,,,,,,,,,,,
19,1907-12-20 14:00,0.5,,3.5,270.0,96.0,6.0,,1003.1,,,,,,10.0,,,,,,,,,,
20,1907-12-20 15:00,,,,,,,,,,,,,,,,,,,,,,,,
21,1907-12-20 22:00,-5.3,,9.8,290.0,66.0,2.7,,1006.5,,,,,,10.0,,,,,,,,,,
22,1907-12-21 00:00,,,,,,,,,,,,,,,,,,,,,,,,
23,1907-12-21 03:00,,,,,,,,,,,,,,,,,,,,,,,,
24,1907-12-21 06:00,-12.9,,6.7,270.0,78.0,1.7,,1010.9,,,,,,4.0,,,,,,,,,,
25,1907-12-21 09:00,,,,,,,,,,0.9,,,,,,,,,,,,,,
26,1907-12-21 10:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
27,1907-12-21 11:00,,,,,,,,,,0.8,,,,,,,,,,,,,,
